baker,last_name,series,episode,baker_age,baker_occupation,hometown,technical,result,signature_bake,show_stopper
Annetha,Mills,1,1,30,Midwife,Essex,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
Annetha,Mills,1,2,30,Midwife,Essex,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
Annetha,Mills,1,3,30,Midwife,Essex,NA,NA,NA,NA
Annetha,Mills,1,4,30,Midwife,Essex,NA,NA,NA,NA
Annetha,Mills,1,5,30,Midwife,Essex,NA,NA,NA,NA
Annetha,Mills,1,6,30,Midwife,Essex,NA,NA,NA,NA
David,Chambers,1,1,31,Entrepreneur,Milton Keynes,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
David,Chambers,1,2,31,Entrepreneur,Milton Keynes,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles
David,Chambers,1,3,31,Entrepreneur,Milton Keynes,4,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
David,Chambers,1,4,31,Entrepreneur,Milton Keynes,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
David,Chambers,1,5,31,Entrepreneur,Milton Keynes,NA,NA,NA,NA
David,Chambers,1,6,31,Entrepreneur,Milton Keynes,NA,NA,NA,NA
Edd,Kimber,1,1,24,Debt collector for Yorkshire Bank,Bradford,1,IN,Caramel Cinnamon and Banana Cake,N/A
Edd,Kimber,1,2,24,Debt collector for Yorkshire Bank,Bradford,6,IN,Oatmeal Raisin Cookie,Pink Macarons
Edd,Kimber,1,3,24,Debt collector for Yorkshire Bank,Bradford,1,IN,Olive Bread,Tomato and Mozzarella
Edd,Kimber,1,4,24,Debt collector for Yorkshire Bank,Bradford,3,IN,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
Edd,Kimber,1,5,24,Debt collector for Yorkshire Bank,Bradford,2,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
Edd,Kimber,1,6,24,Debt collector for Yorkshire Bank,Bradford,NA,WINNER,Cinnamon and Banana Cake,NA
Jasminder,Randhawa,1,1,45,Assistant Credit Control Manager,Birmingham,NA,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A
Jasminder,Randhawa,1,2,45,Assistant Credit Control Manager,Birmingham,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
Jasminder,Randhawa,1,3,45,Assistant Credit Control Manager,Birmingham,5,IN,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
Jasminder,Randhawa,1,4,45,Assistant Credit Control Manager,Birmingham,2,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
Jasminder,Randhawa,1,5,45,Assistant Credit Control Manager,Birmingham,4,OUT,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
Jasminder,Randhawa,1,6,45,Assistant Credit Control Manager,Birmingham,NA,NA,NA,NA
Jonathan,Shepherd,1,1,25,Research Analyst,St Albans,9,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry
Jonathan,Shepherd,1,2,25,Research Analyst,St Albans,1,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream
Jonathan,Shepherd,1,3,25,Research Analyst,St Albans,6,OUT,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
Jonathan,Shepherd,1,4,25,Research Analyst,St Albans,NA,NA,NA,NA
Jonathan,Shepherd,1,5,25,Research Analyst,St Albans,NA,NA,NA,NA
Jonathan,Shepherd,1,6,25,Research Analyst,St Albans,NA,NA,NA,NA
Lea,Harris,1,1,51,Retired,"Midlothian, Scotland",10,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
Lea,Harris,1,2,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
Lea,Harris,1,3,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
Lea,Harris,1,4,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
Lea,Harris,1,5,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
Lea,Harris,1,6,51,Retired,"Midlothian, Scotland",NA,NA,NA,NA
Louise,Brimelow,1,1,44,Police Officer,Manchester,NA,IN,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
Louise,Brimelow,1,2,44,Police Officer,Manchester,4,OUT,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
Louise,Brimelow,1,3,44,Police Officer,Manchester,NA,NA,NA,NA
Louise,Brimelow,1,4,44,Police Officer,Manchester,NA,NA,NA,NA
Louise,Brimelow,1,5,44,Police Officer,Manchester,NA,NA,NA,NA
Louise,Brimelow,1,6,44,Police Officer,Manchester,NA,NA,NA,NA
Mark,Whithers,1,1,48,Bus Driver,South Wales,NA,OUT,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
Mark,Whithers,1,2,48,Bus Driver,South Wales,NA,NA,NA,NA
Mark,Whithers,1,3,48,Bus Driver,South Wales,NA,NA,NA,NA
Mark,Whithers,1,4,48,Bus Driver,South Wales,NA,NA,NA,NA
Mark,Whithers,1,5,48,Bus Driver,South Wales,NA,NA,NA,NA
Mark,Whithers,1,6,48,Bus Driver,South Wales,NA,NA,NA,NA
Miranda,Browne,1,1,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",8,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
Miranda,Browne,1,2,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",3,IN,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons
Miranda,Browne,1,3,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",3,IN,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns"
